node,bc_standard,bc_ppm,bc_base,degree,exp_cap,avg_ppm,avg_base
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,0.008839440822804365,0.058192686051229715,0.012682646401739935,552,4157281766,194.51209677419354,88.72177419354838
03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,0.0032108344956486706,0.0,0.0,296,676080720,1659.0072463768115,5969605.217391305
039bd8fd26d4ae06c627af860b271f0cc896153ea87accedfb5b2ed20bfddd7f3b,0.00010666782784691586,0.00046873687798770324,0.00020221658418278382,48,51040000,3878.125,0.0
03dd09855c3634daa5c7de0146f4d54eb395b51ae422bc86ee1132a0d7ed50e720,9.074127306362068e-05,0.00036984486016285694,0.00013067938366006991,88,480172530,108.75,0.0
03fc8aaec61b42da62e36f5473623ca9b91285d7af62c6189d14bcf84c549d473b,0.00041586594320553507,0.001977500529305933,0.001095373622294483,172,404976932,188.2716049382716,24.691358024691358
03355e6b094ea452ea33a453503d19581778f784af4558c1ba620a5aec9de0e40c,0.000979517637691771,0.0023254252167606375,0.0015060620618176305,184,532071279,183.2608695652174,0.0
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,0.0073861056155131955,0.009403292629090869,0.011220711474384573,414,5236513957,14.761627906976743,0.23837209302325582
03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7,0.02040385573172306,0.055681051628973785,0.0,710,1000024836,1.0,1000.0
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,0.004302143468188337,0.0010821891236649226,0.0064324882304003265,308,1467666642,13.592307692307692,0.18461538461538463
0380ef0209ff1b46c38a37cd40f613d1dae3eba481a909459d6c1434a0e56e5d8c,0.0006277064174489934,0.005088074194456789,0.0012342278458773784,170,380885820,261.5764705882353,0.0
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,0.001974977216634761,0.0014794705306686903,0.002640763463528953,188,1016452385,11.974358974358974,0.14102564102564102
033dee9c6a0afc40ffd8f27d68ef260f3e5e1c19e59c6f9bb607fb04c1d497a809,0.001928649943246101,1.3950289818449728e-05,8.325216821712132e-06,242,478895321,257.375,1065.675
0256bf97644dd1d839aadd76e2351c1b6bb8173bb9f5ea4affb07075f880e52302,0.0012307375814014769,0.0,0.0034156904144980456,192,637284710,190.10416666666666,0.0
039bd6ad6e5da4fd0774023233b818e5c930a2224d70d84366840bd9476232711b,0.00014193134296966098,0.008226049130320793,0.0011838104515787145,60,41927500,0.0,0.0
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,0.0013363280967296097,0.0008741606627699626,0.0020547778190619075,210,1488799867,14.86046511627907,0.22093023255813954
