node,total_fee,capacity
020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,22919,1523033418
021f98b9898720f8633c93faf0aa54ab399d277464e502d1111b233c2cf4064828,33560,1240741251
036fd236fabb9a5d7a452fdaafd3d72fdd26df20d2847a684042f9fc5a83feae5a,255,142659953
028edb80cb2a4cfa10dc72fc0942ae42575e484480bf53c6373fc4d46240bfec62,60417,53621120
02d22dd92ceefe7a23fdd59f62278813aef9276f1a3c2e82a7e0329b0f732e9e06,1200,399151393
02a0591e848d24246a349fe61c5d7a86bab7c3d9598366675b9c91deb3e31ddf57,18407,115737778
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,117269,863249398
0299797daa21faa6e4151517b286c41d4c7a8cb21fbfba59ca3bcd21a9f8392bd4,25451,1166264409
02ad4afb6e50ae4635ec5ddf5a57c44d4cc4b376ac6580f78cda0454a86e5fa6c2,203,461168225
033878501f9a4ce97dba9a6bba4e540eca46cb129a322eb98ea1749ed18ab67735,1421,1653351974
039f0ad37eef3e1813ebe825d2d91908914a2c3ec1b2047fda6a9fedce3a6f63dc,142655,3176952687
023d49fd88692d4d1f366ee8ffa9dfe979c2266b036b440928e86cf3abe28d1894,20802,1110222870
0245f0788ff401af7fbd7bddc0da7bd43b0b07e91b4a1dd0fd0ca60fa53b2c829a,1402,53190312
0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,12809,2296073782
037d2d1ad1eb7cdc634da8c8d7584f9a358e192cc3358b406dc47a99313d7d531d,970,76853683
03c11d60b92ab00687b6cfcbaf7e34341e5640149db7d753f2155edf198c481620,0,49090000
032ebdae3314f072acd70e66e18572e6ba27f96918009369585e7cdcf36af3cf9e,3600,145447391
03a302b07e57cc167a5c52f3bf917bc708b89f852828a0c7e1419e8eddcd97daed,128956,1021476389
0318ac9faa9629e7da08819bc8fe0dd2ae3044d69b1b2283a63479acffeb968483,1935,596396165
02a9f395df47a0285c1f4788fd9c830e6b770d2ce6ddc65b283d63d5a0e3039ddf,780,230658793
0256bf97644dd1d839aadd76e2351c1b6bb8173bb9f5ea4affb07075f880e52302,1901,1341458553
03120e72271aae5504c052011ec9bf28217534448406582f9f154f67a637c4e145,140,235208703
02cdb4274e0e1446ec14dfee69ca7336a93093c58fe522e66b50fda6e2af00c718,230,31450457
037be9d042cf0f623dc43e2820dfba8f93b5f2d76fa56b24b1bf7660fbc0331c91,80,3500000
0334024afcf34dfa3c88e3210290b9039e3f815188a53361dc300eb3d870253889,5205,244561356
03f52d564ddc96755a681093926e8ea1ad47e267e52935aaf224970621a813563f,309,29650000
03cda3c7f11c0f63806b4910c7e00d133bc942fe66512fbb97fc239d892568fc13,1750,569087396
03b323009613777edc4e8024c6726758396bc026da99545971164a6baad31dfc69,1652,1062795414
02f326f751c6530540623e28b6754c5ef4fb15a5e29d6523445ec8784bbdc25241,120,121395000
03b175ff3a733f90aa8fe8dde9742f60eed0e088b164eb0d5aeb26b45e85b03b87,500,35390000
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,53228,875397467
03d67293bea1d531353a5026d752783628ef15f285fb00207b4eb72185674e9ec5,331,361776144
03e3185014c9330e8797432e31fc7e2ea40b644ebdd89a6076aff4564a3c8a16f7,1201,245828075
02ec14c429471b5ef3cc7cdc95f38b30e4c61f639adf6f95ce8d8ad44dd224ab35,3162,138588276
034a7b1ac1239ff2ac8438ce0a7ade1048514b77d4322f514e96918e6c13944861,133196,525487910
02cd1b7bc418fac2dc99f0ba350d60fa6c45fde5ab6017ee14df6425df485fb1dd,21,58500000
03676f530adb4df9f7f4981a8fb216571f2ce36c34cbefe77815c33d5aec4f2638,0,43800000
02c1321de5a127023115b90f33ae1244349269f5d18d3ea4014be697e700c07ccc,300889,1862838336
026efccf6315aa453f65082c6b8e228d4cce02bf15c6d8495a189019786836c004,2979,629183687
02ba2a6cac7a77bf2678718713d8cb2a71c10a284f2e62090698bf70f791465519,182,34053096
024a8228d764091fce2ed67e1a7404f83e38ea3c7cb42030a2789e73cf3b341365,2609,679550935
0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,16634,1856983234
03571f29c16ebc3d0ad5cbcde0ff3b52ee8278312ae62c0884b00dad32b66ee519,48,30100000
02d4b432058ec31e38f6f35d22a487b7db04c4bf70f201f601b66f7b4358242b03,23632,996561148
02e01367e1d7818a7e9a0e8a52badd5c32615e07568dbe0497b6a47f9bef89d6af,3063,230888030
0369a862b7536b03fc9a66ec2722735fa8276f93043fde708d6ba6c607318af548,1002,7000000
0272a1e614e1f476704d75f60419e68890ffabf6b12b48e0a19715fa4770bb781f,3000,10700000
03055d3f08f9bf7725dc0644192f045e3466995db33c7464b0e32fb3542d866b87,400,36185778
02fef7a8221a4b4b809dcb4e7d9174e658b0213b14420a1672ff0bc3fa23e8634e,250,4900000
02c655f6d1a332ca83113bba5037f6df92807d792c049219dec3e329ff5b08b7ac,956,145362959
0278b03174171c2d2c817035a6996fae51bee28a9c6f394c2dede7c622763640b5,17,3350000
033b2186776d86eb5be74b1e6da3d902be485bf0e1e4a88feea285b67541641968,57000,1100000
02676da411bd1afc62df33152461b6d51b8da6a7381e379ae0f26119e0f44a5317,1004,237441078
02741610a873ff193cbbec594dc32d759449082eaa4c2279dba43f67c545d0c843,780,48300000
02a7a0980d12cca9d40239369e5bde7621d6b539727713f052cb9ab931f4034097,601,308233943
0242c1650f320c43f3600ebf3b5fcaf566760fcd421f35b68fd1e39a31b29ef540,70,331630721
02f4c77dcf12255ccf705c18b8d6b95e4f884910bf61e8aa21242607193a79da1b,23416,949552999
02e7c44b9c0ce84e4a83636c3887669891cfc130f8f4d40691021bc9ce0ec5e857,244,95000000
0205d359cfd8dad7e3dc10a21215457da54a9cc47ee01aa83dd2284fcdaada83e3,292,26222159
022f3bfa1de8491bad95ea018b17d47efbfe713cd2da59ad5fc380198612b8954a,101,146339938
03cbf90a28d681ff09ac8cac2c1c4434a7c9ce47737b765131e8b870b98c3070ca,3000,19400000
0205d9b3537e4c212c59a52e1a7fe7080b521f6f88b3fb34dd57e5a54a80a8dcdb,82848,296186709
02d9b02d97dfce87bef40b5f2b443b65bde52b2792b0d023240787e2fdad7777f9,466,61999998
0333175e2ddb8ae3fab14125c312cf62b9da6dc54fc922edd1aa11e4e059496594,1774,479126297
03a09f56bba3d2c200cc55eda2f1f069564a97c1fb74345e1560e2868a8ab3d7d0,792,277212031
024d2c2b40687a4d4467314671efb2eb43ba105ae469426a1da3875cbeb71c0acf,93,454646323
0337694505123a12a8fadd95523dcc235898ad3b80a06e4a63ca26fed68dd0d17c,165662,1411706761
03c03aa445c0a7d441c7cc0f7109d454b3cebb88239b3c9158c2bf495e169e71c2,466,58122533
035eb7d2253d934b51dd1cc145b6f36a9c2d953c4379f5fff9c39bb437ece525ae,545,250814307
0222c672f55d009fbc56fbae6769a37e95d8a3c962101f902ecbc0b9162d985a16,676,35744224
02a5dbc008844d58b839365959d36f841e2498519e9cc5e8082b3ae2db0c1669ac,125,8060000
024fa071747920bb4291ee2a4277f8fed0a3e3783f97fb80621ff26e1b00057d7f,100,1600000
02df7cfd5958a9b77e44253f74b024cc385ac5abc970c47edf042c09baa25f102e,200,1000000
030fc13e415f7c2a7f1ca4cc59a7efa621e68ff3954010d56d173ac436b2c4c727,9000,332992
