ranking,copied_node,new_fees,delta,perc_delta
0,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,0,-247580,-100.0
1,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,285000,37420,15.114306486792149
2,03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,350470,102890,41.55828419096858
3,034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,22095,-225485,-91.07561192341869
4,039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,205400,-42180,-17.036917360045237
5,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,347420,99840,40.32635915663624
6,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,35492,-212088,-85.66443169884482
7,035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,218000,-29580,-11.947653283787059
8,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,491313,243733,98.44615881735197
9,035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,50613,-196967,-79.55691089748768
