ranking,copied_node,new_fees,delta,perc_delta
0,2,1015560,-1218920,-54.55049944506104
1,3,2245807,11327,0.5069188357022663
2,0,1961242,-273238,-12.22825892377645
3,8,2184753,-49727,-2.225439475851205
4,7,2142013,-92467,-4.1381887508503095
5,17,2253613,19133,0.8562618595825426
6,4,2102652,-131828,-5.899717160144642
7,41,2138252,-96228,-4.30650531667323
8,27,2015294,-219186,-9.809262110200136
9,23,2021065,-213415,-9.550991729619419
