ranking,copied_node,new_fees,delta,perc_delta
0,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,396229,-42070,-9.59847045053719
1,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,0,-438299,-100.0
2,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,43416,-394883,-90.09443325218629
3,034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,30312,-407987,-93.08417313295261
4,035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,31230,-407069,-92.87472706987695
5,0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,0,-438299,-100.0
6,03a8b61013b27176c441cb7b6875b159d9dc1c270651e603447e93d5bbc78ffaa6,336530,-101769,-23.21908103828665
7,0276dfcb25dfd2f765cee20cef749479967aced11191c230e82efa1bda0ea3d355,456748,18449,4.20922703451297
8,037d7cc005b2b511dfdb09bbcf8acbe04f7b08f35820ae3c6d70c8af457cc2bcfb,505980,67681,15.44174182464482
9,02b4a5955af2d3b0eeed574b8e3313a9f4b671e1b555926ff62181bb9d512ac2e1,331190,-107109,-24.437427418269262
