node,total_fee,capacity,routed_payments,ratio,ROI
021fa607f2b6ceebe5742aaa7650cf817351e7d70cf47595a48ffd2e5741076b06,200,167798905,1,1.1919028911422276e-06,LOW
0207ed361128e101a16605fd8e7b491e2d28f7db1677363c9712a3907523a414d2,110,166784757,9,6.595326933863626e-07,LOW
02826f50035eca93c7ebfbad4f9621a8eb201f4e28f994db5b6b5af32a65efb6b9,20,157294970,2,1.271496475697856e-07,LOW
0234b21ceafe19e5ad4bf22c9291827c1cecd3516830090ca2b44c34ef5638c360,21,157163764,1,1.3361858653372542e-07,LOW
02136231c8dedc8c0cb5d6a47d2d4bd6ca497d503c0c8a9cce64095ed18e373650,100,150723799,1,6.634652301989813e-07,LOW
03279fc82bf354280cdae4c84033f856606cbe2d431d7cafa4387329dbd5ae529f,22,150399396,2,1.4627718318762397e-07,LOW
03378042dbd7f9671e558df650ff086ba3ba353d6f24d2f9724c522bcb91a617de,100,143561998,2,6.965631670854845e-07,LOW
0337579aadc81356ed7f32587565e4c2a7f8d1561be8cc3bd976cbc6a409a4a71b,100,118163556,2,8.462846192611198e-07,LOW
03807e3c5228372e94cd7b647ff0fec1bc993b85414befd715e74649b9d6659c65,31,111003770,1,2.7926979417005386e-07,LOW
030112133f62b20f81b76754695a0cbb683552c307a062897123fbf3d6360f394c,10,107500000,1,9.302325581395349e-08,LOW
026c2683f3a85822cbb262baaed39d3985cbe3b8e9838135edef7cab7776a1df0e,200,101020185,2,1.9798023533613604e-06,LOW
02b20c736785ce8e801d50ae0bb6f6daa534a992445b44f4b6255ebedebd84c037,10,99861157,1,1.0013903604181155e-07,LOW
03a01da97af71f7859cd1b2b6a70f221ecd49f6eabf0bf1e267bae9570b47232a6,10,99594089,1,1.004075653525984e-07,LOW
034ff2a80dcca440c34973c154792248e0df97c7650dc941c78b1258cc98578934,20,88050000,2,2.271436683702442e-07,LOW
0223d7aa491e26a307b4203916b8d60ded8cfe832806b432d6cfc278e96374f9aa,20,85366612,2,2.342836330437947e-07,LOW
02551c2c66888ce990cf01822b9f5258f2f96de25a86828d1c0d18a894b2217411,90,76353398,2,1.1787294653212422e-06,LOW
02f3c672ba1b02f8885a10d6b9ae4e7b88a0c7f580de79fd47ccb3d4306e1c240c,40,72499116,1,5.5173086524255e-07,LOW
03dde2d452bec35f84c03ce50294af7322e0249bb899b4b0ca7d164c354df08072,40,72264768,1,5.535200777230752e-07,LOW
0261d1b9535b00ceb9ff0fb75e2503e468f2502670be4637271b71e8749a9c024f,10,70032057,1,1.4279175035512668e-07,LOW
0290cc884704073b2b633f69f852e8ca2a37660bb359a1e861f2b48760c298ac53,81,65197028,1,1.2423879198910724e-06,LOW
023c52a46c4d8b74d24b237682b4c1b982233a8e5c8575f16cda965ebcbaa95c01,10,58750000,1,1.702127659574468e-07,LOW
0298efb4ee7ec9a4a8d145314799df8441b901588772ca0d20b82179a2993afad8,90,58228593,1,1.5456324009065445e-06,LOW
02f0d769a72d4aa2dc07ae3c66582c3606330ac1778758923444ee5a5da805ef24,30,56823794,1,5.279478522676609e-07,LOW
033fc44ec70c1c5a269a7d7c1cfdaf6f9ec7a92bbe7a8e1473e3663ce7ce8d399b,10,55142115,1,1.8134959096146386e-07,LOW
033f09f5ae51c101debed97a7a7317fc5e91a2041bf9ee17079856c2d4005872e1,60,42628860,3,1.4074971744494223e-06,LOW
02242c641dac85a44b04eeddccda2f34bd9dc0f08e2f8db5c9c061c3e5852ac556,0,317665821,7,0.0,NO ROI
027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e,0,474500754,2,0.0,NO ROI
025e5019685002fe76b46cbde6d84500e674ac33863fea3ab490ea72e1ad8974be,0,71531147,2,0.0,NO ROI
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,0,1488799867,7,0.0,NO ROI
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,0,1016452385,3,0.0,NO ROI
0289b70b52a04e951446674bedb571336295a2890ca0079639ebc067076277d571,0,345591692,4,0.0,NO ROI
033d631908f96640e8a8d376e62a4cfdc736172249b57a3f92f67f62250c9691dd,0,35207347,2,0.0,NO ROI
02de11c748f5b25cfd2ce801176d3926bfde4de23b1ff43e692a5b76cf06805e4a,0,1733657311,7,0.0,NO ROI
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,0,1467666642,3,0.0,NO ROI
030e7d77f4012c809e4bcd0701e7d50b3a0869679f328e325e222ae56acabc74b2,0,165861109,1,0.0,NO ROI
026f62497dfd0437ff0815c89801772a4f2b136b0e4ba7020f7c5e3f749d4a0634,0,94425000,1,0.0,NO ROI
0351f4fdba0020a18cfe0f0260c065a4e2aabdfb693f690db111f11c323c20234a,0,63946629,4,0.0,NO ROI
03224c97588dda56a63e881c4f522ffd746a2f3b3cbfe4790e38c64ce263d6f6f9,0,800708346,5,0.0,NO ROI
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,0,889244900,2,0.0,NO ROI
03011e480a671ac71dbc3fc3e8fe0db32bb9a10cc4d824663e09557d446ef80679,0,420643443,2,0.0,NO ROI
02868e12f320073cad0c2959c42559fbcfd1aa326fcb943492ed7f02c9820aa399,0,65355644,5,0.0,NO ROI
0255ff94583166afd90a0fc0a3042b73724feeeb4141d5218b00e96d036ebfa2f1,0,51724361,2,0.0,NO ROI
0285d50bc04a6a7eaeb37c4964d5f1322b1136c8cea2f242d3c52302226043cbe4,0,294459895,3,0.0,NO ROI
03fc8aaec61b42da62e36f5473623ca9b91285d7af62c6189d14bcf84c549d473b,0,404976932,1,0.0,NO ROI
0227d47539ebbfbb3548abdb31a243063bf2ff2dd77da2af04404da61ab8264560,0,124137122,2,0.0,NO ROI
03c1f2781c735c0538745657447f546f50d401ae44cbd9d0fbbe6538337be14ba3,0,79657654,16,0.0,NO ROI
02789a937b21d46a4d0fda71f756aa25639ab995ef867704ebcbc5551cb943be80,0,86835991,1,0.0,NO ROI
03a6680e79e30f050d4f32f1fb9d046cc6efb5ed4cc99eeedba6b2e89cbf838691,0,45631294,7,0.0,NO ROI
03b428ba4b48b524f1fa929203ddc2f0971c2077c2b89bb5b22fd83ed82ac2f7e1,0,392990054,2,0.0,NO ROI
020f799a23302b58dbf2d9546e3aff8e5c53e67a7391b289e77132a40a29bd278c,0,133710482,2,0.0,NO ROI
02d56b8002151db347eb1c946c6e42db156df44539a4b857c02b0c0b3c0a48ed03,0,50750000,1,0.0,NO ROI
027c4b3f51b43b5640b79799750d2db6d84a0dbd590b0ba2d1cad79bb72a53c9be,0,84736192,2,0.0,NO ROI
02513203015d22a8b9bc721f218d5dfdd7710945a9605da400ff820e17f65c0230,0,95095850,1,0.0,NO ROI
02abfbe63425b1ba4f245af72a0a85ba16cd13365704655b2abfc13e53ad338e02,0,1470570249,1,0.0,NO ROI
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,0,1160212816,5,0.0,NO ROI
0225ebcc280a5c1fb2e5d56fd2ada9a1b1277f66cf5ee090684e9e5f6e6313b475,0,42129643,1,0.0,NO ROI
02c1c410e5748cad48c58dc810cb88f593c34d8d4a0f67625e4d85d4c247c6f2a6,0,62001190,1,0.0,NO ROI
037d7cc005b2b511dfdb09bbcf8acbe04f7b08f35820ae3c6d70c8af457cc2bcfb,0,89196469,2,0.0,NO ROI
026e44acf41fcfa19d092a297a7e8452f6ac5eee677ed0f7f2e5d4c7c632467224,0,424020015,2,0.0,NO ROI
03dd09855c3634daa5c7de0146f4d54eb395b51ae422bc86ee1132a0d7ed50e720,0,480172530,1,0.0,NO ROI
026606c031210ff5a38e193bfc3148ce8147f18f93637ffcb967d829ab361e4852,0,61900000,1,0.0,NO ROI
032312e5e15e89211df36e473d76af60672e3efebfe42a9b2113acbb456050b502,0,67321775,1,0.0,NO ROI
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,0,1238190138,2,0.0,NO ROI
02b1afba6153f9668ea0be12f4dbfc396a782a52d3eccf868732a1088eb2cc5d69,0,123700848,1,0.0,NO ROI
025a557a7b16190330a8df33730c064a7a66f0af2e8f4336485144b1423beb015f,0,52000000,2,0.0,NO ROI
0372bd00e7c43efd583623d8fa688141b91e00d0ad65b29b630bf7188804da50aa,0,163278214,2,0.0,NO ROI
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,0,1014506547,2,0.0,NO ROI
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,0,1171197015,1,0.0,NO ROI
035c1e8fba80c5e52fdccefec2a325349465213bc9662c96b23231f90873a1ce24,0,50000000,1,0.0,NO ROI
03a9cecaad78e5fc8a3a77bd124a5cab6dc046e425cf75b9d1645ef9261e31a273,0,113371145,1,0.0,NO ROI
036982a2b2398b9835a9d6cd2371a08c6e221f9e1b879008959dae28413af78067,0,48177292,1,0.0,NO ROI
032a54b1e9cd2ff8ec5f58915a749cf074e957006e8b4da9c8497fed4b6c6f88dc,0,245401107,1,0.0,NO ROI
02bd2ed32599f0a52ce507ee18366623e51c639f7f5729e9b9029799cd6d8bb8cd,0,68888607,1,0.0,NO ROI
023ef61f179d401434cdb44cd392d06e1bbeeb4eba66097d87aaf5e1232b7a5506,0,49175000,1,0.0,NO ROI
03ded19c55ab1726e2b839e006321c002c61602cced485c75db895ec73fb48543a,0,56350000,1,0.0,NO ROI
