node,total_fee,capacity,routed_payments,ratio,ROI
038398286d47300a40381620e2f738c43a572fb770f42fba34e42f8fa9712e61ca,4040,108687500,4,3.717078780908568e-05,HIGH
02ec921faa245b5813385e04a51a6f0e2d99a570ff820bc42b6d1048c278f21216,3030,99333332,5,3.0503356114139007e-05,HIGH
03e6a611923bb01ac843493f21a7f7a33f4b8404974ba5fc56399ab752fe802a35,4010,94265416,4,4.253946113174741e-05,HIGH
021c3ec6432d2b9b5abcb01dd64b3a8f2afe3ba7d8c021f63ffd0a994cd3bc9b88,4040,93307937,4,4.329749568892516e-05,HIGH
030b04c5d37b8cb3acd324edefed38e170d355c8f0953718307b894321d576615f,3000,88860174,3,3.376090620754355e-05,HIGH
03193aa3b4db3ecb2025395e704e8e808f412914beb629270f7b902b9460539400,1700,87259426,2,1.9482135947123924e-05,HIGH
030751b547f0e59c40086bd6a2b5efbaaccfa850aa5af5118253070ee123787193,4220,86111959,5,4.900596907799996e-05,HIGH
03cfea6e01d8735d29863d0ecc0f637e5da25c3afb1894e6cb1c25cc9c52dbceef,2020,84066298,2,2.402865414627869e-05,HIGH
032f6da91c68ec88aae659492b7a0e87606079696ef961ef35b975eea18895dd93,2020,82500000,2,2.4484848484848484e-05,HIGH
03a121848cf24eec9ff5bf0fc0b2212965ec1be10a0520b59db9e23b76bd1f8067,2020,81300000,9,2.4846248462484625e-05,HIGH
02fab1674e0a6406018092945a7eb128ce6ffe2b592656dd184e2d4ae1cc3da7a0,2020,78495782,2,2.573386682102231e-05,HIGH
03f4401ff73acf97a561442322b1f81d726c5e0f93c57c821211ab613cdebbbc2c,1720,76425000,1,2.250572456656853e-05,HIGH
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,2900,69842179,3,4.152218675766116e-05,HIGH
0230b207b3385feddb1ed18d5c7a808015aeb668aaf9bf980bee62465a382112c1,1010,69596871,1,1.4512146673950328e-05,HIGH
0360a41eb8c3fe09782ef6c984acbb003b0e1ebc4fe10ae01bab0e80d76618c8f4,5050,66053821,5,7.64528065681469e-05,HIGH
0376bd2f87ea8376ae5b451f85a4210e4df5ce81b949054288def4c7867640923c,2020,60283563,5,3.3508304743035845e-05,HIGH
027222caea9c1070952bc8c7a05a6f75f26f3bffc37e80e627cc651d50d50eb268,1250,59214059,3,2.110985163168767e-05,HIGH
033c3c634183087678b728f061c389d8e7d6a13d3d0f7aae938c2db562c61d696b,1010,58000000,3,1.7413793103448276e-05,HIGH
03f2005837649dd49811bbb7e78993581da41c09d3bdcbc6933492276acccd8b6d,2020,57400000,2,3.519163763066202e-05,HIGH
03d67f36c4f81789e2fe425028bacc96b199813eae426c517f589a45f1136c1fe5,2020,53880448,2,3.74904083945256e-05,HIGH
0327e003e3c742db9a77f436e672bd42bd4a302ec0f92f0486c4fe09143bcfb0b9,2020,51970046,2,3.886854362222423e-05,HIGH
031085e1d65b81c2795dbe3608c7d980c22841aa86876c12bd55a222edd8d86ce1,2020,51850038,2,3.89585056813266e-05,HIGH
02fc6bf390208dda96f489491b5c79830c39dfc07c998cc5f469ce3801cd01c5b2,4500,51557327,14,8.728148377436247e-05,HIGH
033e7e466c56c51f53723fb966674db881b5aae8907e22170d630fb1b149f55ee3,1010,50072950,1,2.0170571136711535e-05,HIGH
026fbb6e7bc01ec90bf314d4c38fea60d624d5f4ab5351dc15c040377a892d4bb0,2000,49891741,2,4.008679512707324e-05,HIGH
0336350b10294b9d8759944709db961cb9ef8e4c7d3a80d057684ae5b0d841c101,1000,41866612,2,2.3885381506389864e-05,HIGH
03b9a2802555f58d8b333adf3564dcde4f30d306be27edc410d4d0ebf7194fa21a,1960,39383333,1,4.976724544872827e-05,HIGH
03d80f73824f7a881f4b3db3553b111d5defb99f6a8ab504b6e92723b335835b13,1000,35050000,1,2.8530670470756063e-05,HIGH
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,84640,20727060631,89,4.083550557738511e-06,MEDIUM
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,26000,6450526948,32,4.030678456131612e-06,MEDIUM
021c97a90a411ff2b10dc2a8e32de2f29d2fa49d41bfbb52bd416e460db0747d0d,9800,3129499564,1,3.131491089736417e-06,MEDIUM
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,22010,2308133333,5,9.535844262251726e-06,MEDIUM
037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,9760,2134898847,37,4.571645168910432e-06,MEDIUM
03423790614f023e3c0cdaa654a3578e919947e4c3a14bf5044e7c787ebd11af1a,6813,1468704568,49,4.638781786644514e-06,MEDIUM
03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9,5559,1393920424,46,3.988032533484135e-06,MEDIUM
026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f,11799,1386051548,12,8.512670410437001e-06,MEDIUM
02b7291fcf57fd64cb9610beedf37eac46212762608813ccf8090520701b94ae62,15040,1289049493,20,1.1667511667839427e-05,MEDIUM
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,13130,1152223505,11,1.1395358576719888e-05,MEDIUM
02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,15990,1135745876,21,1.407885367483386e-05,MEDIUM
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,10681,1128840229,65,9.461923596984067e-06,MEDIUM
020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,8280,1115564802,25,7.422249236579983e-06,MEDIUM
03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7,12070,1000024836,6,1.2069700236924916e-05,MEDIUM
029efe15ef5f0fcc2fdd6b910405e78056b28c9b64e1feff5f13b8dce307e67cad,6060,887595210,6,6.827436574381693e-06,MEDIUM
020fbf0a7cbe80ef61de8f12ff53a653ac0e48be287de00e1c4b784486be5c1cf2,3030,853339803,3,3.5507543294567263e-06,MEDIUM
0296b2db342fcf87ea94d981757fdf4d3e545bd5cef4919f58b5d38dfdd73bf5c9,3240,752543310,13,4.305400044018729e-06,MEDIUM
034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be,3030,745432998,5,4.064751638483275e-06,MEDIUM
021f98b9898720f8633c93faf0aa54ab399d277464e502d1111b233c2cf4064828,10000,730412489,2,1.369089405041649e-05,MEDIUM
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,6130,720713510,8,8.505460096065079e-06,MEDIUM
0231d05027b5df80ebde034b45df8a893ccfd12848fc8bc4f6f2f944ac7de95b70,2020,647145983,3,3.121397726423035e-06,MEDIUM
02a14a8612b50a011307929de31b268feb76c9c9add916c73cca623ba5e80dcd6e,4940,638648328,8,7.735086405800471e-06,MEDIUM
02459b759a62bc3ebfe98a320da237944cc4f35456384bd8fdefa7d0340c75f46f,3100,574219179,3,5.398635422450771e-06,MEDIUM
03eced7eb38bb00b9b6dc82098e0c2dd52829da892014a7eb08e0a58635c5821be,2020,565994153,2,3.5689414621921017e-06,MEDIUM
03355e6b094ea452ea33a453503d19581778f784af4558c1ba620a5aec9de0e40c,2200,532071279,6,4.13478435471049e-06,MEDIUM
02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5,5000,446984244,4,1.118607661705409e-05,MEDIUM
02f3069a342ae2883a6f29e275f06f28a56a6ea2e2d96f5888a3266444dcf542b6,2090,439925697,4,4.750802270138814e-06,MEDIUM
03e81689bfd18d0accb28d720ed222209b1a5f2c6825308772beac75b1fe35d491,2000,415871656,2,4.8091760309820205e-06,MEDIUM
02150e753d33ecf6d2de4173cc1ce941d9bf8900de7f4407ac3df5e078df91dcce,2870,387574885,5,7.4050205807324175e-06,MEDIUM
03f2f3b5ac54d7b4fbecc0978888b66fe318af6595b6344ba7a2368e61075ffc98,2860,383240875,11,7.462669528661315e-06,MEDIUM
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,3200,370573167,3,8.635271749181991e-06,MEDIUM
035b710d2c8d25993ddcbe031c0fee5434d5e6fb7a6ed5d438404daa99199537b8,3030,364123881,11,8.321343801122454e-06,MEDIUM
02fb79c3a9121d85b126687bd111eaebf21aaaaa5cbf232e2b6c3bdf8803f40182,4400,364096208,4,1.2084718003984266e-05,MEDIUM
0284a249ee165723f01ae08dc340f9f60bcbce8dda2140401f1bd7548ef11dd5e6,2750,361204357,1,7.613418683097447e-06,MEDIUM
