node,closeness_pickhardt,avg_ppm,avg_base,bc_ppm,bc_base,degree,exp_cap,bc_standard,ec_standard,median_base,median_ppm,closeness_standard,degree_2_hops,bc_capacity,bc_pickhardt,ec_pickhardt
0339c7351f76d1c5a2a407f9c57cde096857b8374b3eb6ff023cafc9a634d7bd64,1.1629728746382905e-10,166.96428571428572,1000.0,0.0,0.0,28,90357732,0.0001996913454604385,0.011357066461737945,1000.0,50.0,0.47776183644189385,879,0.0,0.0,2.712234017608898e-07
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,1.1629731004737866e-10,1.0,0.0,0.11426672302817609,0.04441157632961716,321,1873396733,0.022340135282044052,0.09983696120683462,0.0,1.0,0.5914742451154529,987,0.04441157632961716,0.1408447224025749,0.002122984630583854
029fe435040c8b665f731f2b0c81d039238ef1e3a1b1de0afac2b476361a26d675,1.1629725513252956e-10,261.7173913043478,160.7608695652174,3.269516221121053e-05,0.0007185634341111762,46,153307769,0.0005820148424341915,0.015609267634982674,0.0,23.0,0.4901864573110893,913,0.0007185634341111762,8.024056120248505e-06,9.321513553515112e-08
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,1.1629729903911458e-10,505.7724867724868,481.48148148148147,0.021138166439620274,0.028547257021714043,378,20727060631,0.03140245595289373,0.12718664342733085,0.0,1000.0,0.6155268022181146,996,0.028547257021714043,0.06897923307408946,0.0071506618380913975
0313827390afcae8876dc7d56c417d5698effb237e6eab45a364ac71e9e2044c9a,1.1629725050081559e-10,1.0,1000.0,0.0008908271263815155,0.0,27,78961328,7.374820907575634e-05,0.013601390529378551,1000.0,1.0,0.46595149253731344,826,0.0,0.000150952555762175,6.219010857941175e-08
036ff83834666d3ebfe61c2a7d1f8fc5d6b339a26559a61819e2b0d1b5f540fdfc,1.1629726211432675e-10,494.73333333333335,0.0,0.0019636364908258374,0.000488203601458593,30,55019428,0.00015175293935827422,0.014898917330156221,0.0,281.5,0.48589494163424124,911,0.000488203601458593,0.001001001001001001,1.5541131299083384e-07
0395033b252c6f40e3756984162d68174e2bd8060a129c0d3462a9370471c6d28f,1.1629725128499775e-10,48.65384615384615,83.23076923076923,0.0,0.0010402305496264577,26,101037837,0.00011460285284737987,0.013512951061581756,10.0,20.0,0.4828419526341228,902,0.0010402305496264577,0.00015045105225465946,0.00470738600940353
035b710d2c8d25993ddcbe031c0fee5434d5e6fb7a6ed5d438404daa99199537b8,1.1629730357978532e-10,205.7058823529412,0.0,0.0052845651709763864,0.0016489091204095682,85,364123881,0.0009187299495785943,0.04585514738270915,0.0,5.0,0.5181535269709544,984,0.0016489091204095682,0.009215294118433732,3.4910310900309185e-07
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,1.1629730507654542e-10,15.392354124748492,0.0,0.31836022439549966,0.08714584144671347,497,4818157452,0.0565310243617254,0.15711373245532687,0.0,0.0,0.6651131824234354,998,0.08714584144671347,0.4513390937825029,0.005306412209199377
03457c295a1fce1b2293fd0bc13b373660ca6cb4f9608a03299657b2204dbb43a0,1.1629727157508191e-10,15.56,1532.0,0.0001636853907003479,0.0,25,57500000,0.00013201701836016523,0.015098145485986788,1500.0,10.0,0.4870794734275963,921,0.0,0.0,0.002121185636895855
03355e6b094ea452ea33a453503d19581778f784af4558c1ba620a5aec9de0e40c,1.1629728694125271e-10,183.2608695652174,0.0,0.0023254252167606345,0.0015060620618176316,92,532071279,0.0009795176376917716,0.05080979547681766,0.0,24.0,0.5168132436627004,972,0.0015060620618176316,0.006241712654538306,5.24337758790885e-05
02489368e779854165517c9d88e977c7e2e90e4836bfeb63186b79cc015f00700d,1.1629728861161782e-10,55.857142857142854,0.0,0.0,0.0015057950053146063,70,230078114,0.0005590782751692377,0.03723557279483637,0.0,30.0,0.5030211480362538,941,0.0015057950053146063,0.0,1.4312169313170555e-07
0390cc12f782259427bdc45a283705f4c20ccbdff064ed43f6b74fefcafe9eb1f7,1.1629724710815358e-10,151.5151515151515,454.54545454545456,0.00013072911230337198,0.0011390042785698212,33,179820459,0.00020562533602871546,0.012218496528353544,0.0,100.0,0.4687939934303144,833,0.0011390042785698212,1.303909119540382e-05,0.0021920167228806123
0311edbceea21b34be1c33df0fcebeaebc4061ba4212146ac46134c487a44d4450,1.1629726214844401e-10,346.15384615384613,0.0,0.0,0.00046910977629196625,26,138304709,0.00018837234275796195,0.012204250534841539,0.0,350.0,0.48121387283236994,895,0.00046910977629196625,0.0,3.144656122886407e-07
025cf385ead5258a186db8029224f016264e6c0b183abbba040b82df74bf239418,1.1629726389767071e-10,15.617647058823529,1000.0,1.251722750275411e-05,0.0,34,75357986,0.00025412845930054747,0.011170250451414454,1000.0,10.0,0.4714487966021708,844,0.0,2.0060140300621263e-06,4.0684242007199926e-08
03501a74753e0f6ae270a1e4e2ffbbc37f7a796360e650c1121c18e116b22ac106,1.16297360154582e-10,1000.0,937.5,0.0015870225378689067,0.00014265510062391057,48,786513186,0.00038199817336316994,0.022750969543179657,1000.0,1000.0,0.49850299401197606,945,0.00014265510062391057,0.003911225855113631,0.0052980377873207436
020d0fdcc9cfca39aebc7b6fd5657cef4bd5287e571afd6317f0b0a8b4430e3c00,1.1629728458518479e-10,86.0,0.0,0.0,0.0011498310446709102,61,177600000,0.0006876906792877132,0.022137044136584495,0.0,86.0,0.46835443037974683,803,0.0011498310446709102,0.0,4.14817829705405e-08
028ed014b2538ac28e60e50e1980153d3796224719b6a17197e33ca4460df0160d,1.1629724657752215e-10,146.88,0.0,0.0,0.00017819083004249486,25,33000846,0.00010745448384491649,0.008266635303583965,0.0,98.0,0.46443514644351463,821,0.00017819083004249486,0.0,1.9526078737844124e-08
0293e0945e225ebb21daaa846ccfc8f3f2c5e97421bed2b7f9d1fb11d96b8a3bf3,1.1629726741117919e-10,200.0,27.77777777777778,0.0,0.00027139191679126785,36,96534712,0.00020376629360348652,0.016975210544812915,0.0,100.0,0.4880312652662433,914,0.00027139191679126785,0.0,1.1618859871910734e-07
02f63f49339c8b438c3291ab21e35d1b5642ac2360240068b5ecd3fd5183f2c042,1.1629729812945603e-10,1307.6923076923076,1000.0,0.0,0.0,52,229276863,0.0006059892392362232,0.02377123224519178,1000.0,1000.0,0.49652087475149104,933,0.0,0.0,3.510192865734309e-07
02551c2c66888ce990cf01822b9f5258f2f96de25a86828d1c0d18a894b2217411,1.1629727678010291e-10,66.875,0.0,0.0033616836782613593,0.00026569987447904434,32,76353398,0.00018822213299887758,0.017229376744587875,0.0,10.0,0.4885085574572127,920,0.00026569987447904434,0.0009979919799559078,1.720283281222477e-07
026ec3e3438308519a75ca4496822a6c1e229174fbcaadeeb174704c377112c331,1.1629727569977718e-10,179.82456140350877,1526.3157894736842,0.0,0.0,57,732349653,0.0005050458629202888,0.033734541042592894,1000.0,200.0,0.5089149261334692,977,0.0,0.0,0.0031808645746095425
02731b798b39a09f9f14e90ee601afb6ebb796d6e5797de14582a978770b33700f,1.1629722688933152e-10,367.57894736842104,0.0,0.0,0.0004099755910705283,38,110015947,0.00024351572741601916,0.014999869791140444,0.0,167.0,0.48565872630043755,902,0.0004099755910705283,0.0,0.0036147818040075923
033878501f9a4ce97dba9a6bba4e540eca46cb129a322eb98ea1749ed18ab67735,1.1629729048319364e-10,77.26666666666667,0.0,0.0002593689802615822,0.012617116054432328,195,760994861,0.006625600853932491,0.0795859652829203,0.0,20.0,0.5504132231404959,987,0.012617116054432328,0.00018003975919807583,0.0021614367471857426
03d6b14390cd178d670aa2d57c93d9519feaae7d1e34264d8bbb7932d47b75a50d,1.16297288567482e-10,753.265306122449,95919081.63265306,3.009021045093189e-06,0.00010962099927745666,49,221392980,0.0005401967603834751,0.019946159378166448,1000.0,1000.0,0.49652087475149104,936,0.00010962099927745666,2.0060140300621263e-06,0.0010691167985553743
0282eb467bc073833a039940392592bf10cf338a830ba4e392c1667d7697654c7e,1.1629733725009372e-10,1431.8181818181818,71590.90909090909,0.0,0.0,44,264993665,0.00043716151857810785,0.0205716441331819,50000.0,1000.0,0.4943097476496784,932,0.0,0.0,0.0010699738271002656
0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3,1.1629730551829646e-10,1048.451754385965,0.0,0.009540014938625704,0.012749701103375468,228,2747327547,0.007533174950657678,0.10370154883566475,0.0,799.0,0.5634517766497462,996,0.012749701103375468,0.011030235312132437,0.007428681619845367
03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7,1.1629729346196967e-10,1.0,1000.0,0.05568105162897375,0.0,295,1000024836,0.020403855731723066,0.10231282986974237,1000.0,1.0,0.5825072886297377,987,0.0,0.00638007747226184,0.006992328616940013
